"Sample_ID","uniquely_mapped_total","FemaleID","Date","RIN","Postcop","swelling","male_presence","cycle","phase","phasecode","SampleType","MaleID","DyadID","MHCI_allele_comp","MHCII_allele_comp","MHCI_supertype_comp","MHCII_supertype_comp","Male_stMLH","Male_MHCI_allele","Male_MHCII_allele","Male_MHCI_supertype","Male_MHCII_supertype","KINSHIP"
"280",10472682,"Salade","7/31/19",4.1,"Y","LGS","With Male",1,"fertile","F","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"281",7184373,"Salade","8/1/19",4.2,"N","LGS","With Male",1,"fertile","F","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"282",5021551,"Sottise","8/1/19",7.6,"N","MGS","With Male",2,"non-fertile","NonF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"284A",9315496,"Salade","8/1/19",6.4,"Y","LGS","With Male",1,"fertile","F","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"287",5007022,"Salade","8/3/19",7.6,"N","DGS","With Male",1,"post-fertile","PostF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"289",7985590,"Salade","8/5/19",6.2,"N","DGS","With Male",1,"post-fertile","PostF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"290",3799938,"Sottise","8/5/19",9,"N","MGS","With Male",2,"pre-fertile","PreF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"292",3913835,"Sottise","8/6/19",7.2,"N","MGS","With Male",2,"pre-fertile","PreF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"294",4947806,"Sottise","8/7/19",8.6,"N","LGS","With Male",2,"fertile","F","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"295",4758862,"Salade","8/8/19",7.2,"N","FD","With Male",1,"non-fertile","NonF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"298",5130766,"Sottise","8/9/19",7,"Y","LGS","With Male",2,"fertile","F","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"300",7945286,"Sottise","8/10/19",6.9,"Y","LGS","With Male",2,"fertile","F","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"301",5394412,"Sottise","8/11/19",9.2,"N","DGS","With Male",2,"fertile","F","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"304",5723973,"Sottise","8/14/19",8.4,"N","DGS","With Male",2,"post-fertile","PostF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
